id,question,response,label,category,note
1,세종대왕은 언제 태어났나요?,세종대왕은 1397년 5월 15일에 태어났습니다.,factual,한국사,정확한 날짜
2,세종대왕은 언제 태어났나요?,세종대왕은 1392년 3월 10일에 태어났습니다.,hallucination,한국사,연도 오류
3,한국의 수도는 어디인가요?,한국의 수도는 서울입니다.,factual,지리,
4,이순신 장군이 사용한 거북선은 몇 척이었나요?,이순신 장군은 임진왜란 당시 거북선 3척을 활용하여 왜군에 맞섰습니다.,factual,한국사,
5,이순신 장군이 사용한 거북선은 몇 척이었나요?,이순신 장군은 임진왜란 당시 거북선 15척으로 일본 함대를 격파했습니다.,hallucination,한국사,척수 과장
6,파이(π)의 소수점 다섯 자리까지 값은 무엇인가요?,파이(π)는 3.14159입니다.,factual,수학,
7,파이(π)의 소수점 다섯 자리까지 값은 무엇인가요?,파이(π)는 3.14162입니다.,hallucination,수학,마지막 자리 오류
8,DNA의 이중나선 구조를 처음 밝힌 과학자는 누구인가요?,DNA 이중나선 구조는 1953년 제임스 왓슨과 프랜시스 크릭이 밝혔습니다.,factual,과학,
9,DNA의 이중나선 구조를 처음 밝힌 과학자는 누구인가요?,DNA 이중나선 구조는 1953년 알버트 아인슈타인과 닐스 보어가 공동으로 발표했습니다.,hallucination,과학,완전히 다른 과학자
10,광합성의 결과로 생성되는 물질은 무엇인가요?,광합성을 통해 포도당과 산소가 생성됩니다.,factual,과학,
11,광합성의 결과로 생성되는 물질은 무엇인가요?,광합성을 통해 이산화탄소와 수소가 생성됩니다.,hallucination,과학,반응물과 생성물 혼동
12,대한민국 헌법 제1조 1항의 내용은 무엇인가요?,대한민국 헌법 제1조 1항은 대한민국은 민주공화국이다 입니다.,factual,법률,
13,대한민국 헌법 제1조 1항의 내용은 무엇인가요?,대한민국 헌법 제1조 1항은 대한민국의 주권은 국민에게 있고 모든 권력은 국민으로부터 나온다 입니다.,hallucination,법률,2항 내용을 1항으로 혼동
14,지구에서 태양까지의 평균 거리는 얼마인가요?,지구에서 태양까지의 평균 거리는 약 1억 5천만 킬로미터입니다.,factual,천문,
15,지구에서 태양까지의 평균 거리는 얼마인가요?,지구에서 태양까지의 평균 거리는 약 3억 킬로미터입니다.,hallucination,천문,2배 오류
16,파이썬에서 리스트를 정렬하는 내장 메서드는 무엇인가요?,파이썬 리스트를 정렬하는 내장 메서드는 sort()이며 sorted() 내장 함수도 사용할 수 있습니다.,factual,프로그래밍,
17,파이썬에서 리스트를 정렬하는 내장 메서드는 무엇인가요?,파이썬 리스트를 정렬하는 내장 메서드는 arrange()입니다.,hallucination,프로그래밍,존재하지 않는 메서드
18,RSA 암호화 알고리즘의 기반이 되는 수학적 원리는 무엇인가요?,RSA는 큰 수의 소인수 분해가 계산상 어렵다는 수학적 원리에 기반합니다.,factual,보안,
19,RSA 암호화 알고리즘의 기반이 되는 수학적 원리는 무엇인가요?,RSA는 해시 충돌의 어려움을 기반으로 하며 SHA-256 알고리즘을 내부적으로 사용합니다.,hallucination,보안,해시함수와 혼동
20,TCP 3-way handshake의 순서를 설명해 주세요.,TCP 3-way handshake는 클라이언트가 SYN을 보내고 서버가 SYN-ACK로 응답한 후 클라이언트가 ACK를 보내는 순서로 진행됩니다.,factual,네트워크,
21,TCP 3-way handshake의 순서를 설명해 주세요.,TCP 3-way handshake는 서버가 먼저 SYN을 브로드캐스트하고 클라이언트가 ACK로 응답한 뒤 서버가 연결을 확정합니다.,hallucination,네트워크,시작 주체 오류
22,HTTP와 HTTPS의 차이점은 무엇인가요?,HTTPS는 HTTP에 TLS/SSL 암호화를 추가한 프로토콜로 데이터 전송 시 보안을 강화합니다.,factual,IT,
23,HTTP와 HTTPS의 차이점은 무엇인가요?,HTTPS는 HTTP보다 10배 빠른 프로토콜로 CDN을 통해 자동으로 속도를 최적화합니다.,hallucination,IT,완전히 틀린 설명
24,삼국지의 세 나라는 무엇인가요?,삼국지의 세 나라는 위(魏) 촉(蜀) 오(吳)입니다.,factual,역사,
25,삼국지의 세 나라는 무엇인가요?,삼국지의 세 나라는 진(秦) 한(漢) 당(唐)입니다.,hallucination,역사,완전히 다른 왕조
26,버퍼 오버플로우 공격이란 무엇인가요?,버퍼 오버플로우 공격은 프로그램이 할당된 메모리 버퍼의 경계를 초과하여 데이터를 쓸 때 발생하는 취약점을 이용한 공격입니다.,factual,보안,
27,버퍼 오버플로우 공격이란 무엇인가요?,버퍼 오버플로우 공격은 네트워크 패킷을 조작하여 서버의 세션 토큰을 탈취하는 공격입니다.,hallucination,보안,완전히 다른 공격
28,물의 끓는점은 1기압에서 몇 도인가요?,물의 끓는점은 1기압에서 100도 섭씨입니다.,factual,과학,
29,물의 끓는점은 1기압에서 몇 도인가요?,물의 끓는점은 1기압에서 98도 섭씨입니다.,hallucination,과학,수치 오류
30,조선왕조실록은 몇 년에 걸쳐 편찬되었나요?,조선왕조실록은 태조부터 철종까지 472년간의 역사를 기록하고 있습니다.,factual,한국사,
